,Timestamp,InventoryType,Ad - Length,Ad- Width,Ad Size,Ad Type,Platform,Device Type,Format,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC,Kmeans_Clusters
285,2020-9-17-12,Format5,720,300,216000,Inter221,App,Mobile,Video,44,22,19,2,0.69,0.35,0.45,10.526315789473683,36.31578947368421,0.345,4
286,2020-11-6-18,Format6,336,250,84000,Inter220,Web,Mobile,Display,100,72,59,7,0.7,0.35,0.45,11.864406779661017,11.864406779661016,0.09999999999999999,1
287,2020-9-21-0,Format6,336,250,84000,Inter220,Web,Mobile,Video,70,45,37,5,0.71,0.35,0.46,13.513513513513514,19.189189189189186,0.142,1
288,2020-10-3-23,Format1,300,250,75000,Inter221,App,Mobile,Video,1423,342,337,1,0.71,0.35,0.46,0.2967359050445104,2.1068249258160234,0.71,0
289,2020-9-5-19,Format4,120,600,72000,Inter223,Web,Mobile,Display,287,66,63,17,0.72,0.35,0.47,26.984126984126984,11.428571428571429,0.042352941176470586,1
290,2020-9-17-5,Format4,120,600,72000,Inter219,Video,Desktop,Display,222,46,43,10,0.73,0.35,0.47,23.25581395348837,16.97674418604651,0.073,1
291,2020-9-21-5,Format4,120,600,72000,Inter222,Video,Desktop,Display,266,51,47,10,0.73,0.35,0.47,21.27659574468085,15.53191489361702,0.073,1
292,2020-10-24-9,Format5,720,300,216000,Inter226,Web,Mobile,Display,45,25,18,5,0.72,0.35,0.47,27.77777777777778,40.0,0.144,4
293,2020-9-10-13,Format1,300,250,75000,Inter224,Web,Desktop,Display,1797,196,194,1,0.74,0.35,0.48,0.5154639175257731,3.814432989690722,0.74,0
294,2020-9-16-2,Format6,336,250,84000,inter230,Video,Mobile,Video,267,63,63,12,0.75,0.35,0.49,19.047619047619047,11.904761904761903,0.0625,1
295,2020-10-6-20,Format1,300,250,75000,Inter224,Web,Desktop,Display,2217,423,414,1,0.76,0.35,0.49,0.24154589371980675,1.8357487922705313,0.76,0
296,2020-10-8-4,Format6,336,250,84000,Inter228,Video,Mobile,Video,179,41,40,8,0.75,0.35,0.49,20.0,18.75,0.09375,1
297,2020-10-26-18,Format1,300,250,75000,Inter218,App,Mobile,Video,1585,285,282,1,0.75,0.35,0.49,0.3546099290780142,2.6595744680851063,0.75,0
