,Calories, Total Fat (g),Cholesterol (mg),clusters,Clus_kmeans,sil_width
120,140,3.0,22,2,1,0.5940776423281517
121,210,0.4,42,2,1,0.2995858206583867
122,260,6.0,41,2,0,0.3213170999028973
123,230,4.5,36,2,0,0.01754215724679491
124,290,0.5,57,1,0,0.24415569819842237
125,350,8.0,57,1,0,0.49600742417400284
126,310,6.0,50,1,0,0.4762585766659277
127,370,0.5,73,1,0,0.37081402207613756
128,450,10.0,72,1,0,0.44344172631291967
129,390,8.0,64,1,0,0.49962582690162866
130,80,0.1,16,2,1,0.6629933402709793
131,90,2.0,15,2,1,0.6602878618078141
132,80,1.5,14,2,1,0.6654889695540431
133,120,0.1,23,2,1,0.6564304922951438
134,140,3.0,23,2,1,0.5904893252437692
135,130,2.5,21,2,1,0.6322256086051653
136,150,0.2,31,2,1,0.5909118214803624
137,190,4.0,31,2,1,0.31732983120350644
138,170,3.5,27,2,1,0.4744209049996617
139,190,0.2,39,2,1,0.41771207242991404
140,230,5.0,38,2,0,0.11794031005012721
141,210,4.0,34,2,1,0.1785599460625833
142,80,0.1,16,2,1,0.6629933402709793
143,90,2.0,15,2,1,0.6602878618078141
144,80,1.5,14,2,1,0.6654889695540431
145,120,0.1,23,2,1,0.6564304922951438
146,140,3.0,23,2,1,0.5904893252437692
147,130,2.5,21,2,1,0.6322256086051653
148,150,0.2,31,2,1,0.5909118214803624
149,190,4.0,31,2,1,0.31732983120350644
150,170,3.5,27,2,1,0.4744209049996617
151,190,0.2,39,2,1,0.41771207242991404
152,230,5.0,38,2,0,0.11794031005012721
153,210,4.0,34,2,1,0.1785599460625833
154,60,0.0,15,2,1,0.6489148812288702
155,90,0.1,21,2,1,0.6638866456789171
156,130,0.1,31,2,1,0.6082362603802745
157,80,0.1,18,2,1,0.6633743278396442
158,90,1.0,18,2,1,0.6771617863818373
159,80,1.0,17,2,1,0.6728776646293488
160,110,0.1,24,2,1,0.6570412837193558
161,120,1.5,24,2,1,0.66056455537998
162,110,1.0,23,2,1,0.6716095289634763
163,160,0.1,36,2,1,0.5248999907667037
164,180,2.0,36,2,1,0.44235089682402406
165,170,1.5,34,2,1,0.5185572900337502
166,60,0.0,15,2,1,0.6489148812288702
167,80,0.0,21,2,1,0.6568101006949397
168,120,0.0,31,2,1,0.6104428784586303
169,100,0.0,25,2,1,0.6502029791350202
170,130,0.0,33,2,1,0.5882362317076977
171,190,0.0,49,2,1,0.24680867081673646
172,280,2.5,53,1,0,0.34111234280142333
173,300,5.0,53,1,0,0.47886072116360817
174,290,4.5,51,1,0,0.4418053598206436
175,260,1.0,54,2,0,0.1791727368470725
176,270,1.5,53,2,0,0.23932375841403317
177,270,1.5,53,2,0,0.23932375841403317
178,290,1.0,58,1,0,0.2947756999957746
179,290,2.0,58,1,0,0.37005733330075774
180,290,2.0,58,1,0,0.37005733330075774
181,160,0.1,36,2,1,0.5248999907667037
182,180,2.5,36,2,1,0.4092791112489239
183,160,1.5,35,2,1,0.5271363115516318
184,220,0.1,51,2,1,0.09767880667168218
185,240,3.0,50,2,0,0.22033148563953506
186,220,1.5,49,2,0,-0.04602024307348912
187,310,0.1,70,1,0,0.3148929069226053
188,350,5.0,70,1,0,0.524960049992457
189,310,2.5,68,1,0,0.4507744847356527
190,180,0.5,42,2,1,0.39462704142826294
191,200,3.0,42,2,1,0.15632077090166868
192,180,2.0,40,2,1,0.37142123883862527
193,260,1.0,61,2,0,0.25691497017965814
194,290,4.0,61,1,0,0.48051628531100715
195,260,2.5,59,2,0,0.35081704533077546
196,340,1.0,80,1,0,0.38806239596496445
197,390,6.0,80,1,0,0.5008604209007821
198,350,3.0,78,1,0,0.47045366856470877
199,180,0.1,42,2,1,0.3981600309398132
200,200,2.5,42,2,1,0.20803068829675203
201,180,1.5,40,2,1,0.3994053276433686
202,280,0.1,60,1,0,0.2192909251508223
203,280,3.5,60,1,0,0.44713753094802156
204,260,1.5,58,2,0,0.27093627144361376
205,330,0.1,78,1,0,0.33929841172755515
206,370,5.0,78,1,0,0.5065905739406974
207,340,2.5,75,1,0,0.4586395923239871
208,220,3.0,47,2,0,0.06800955591616553
209,240,5.0,47,2,0,0.30824413560109565
210,220,4.0,45,2,0,0.12709328477989998
211,310,4.0,67,1,0,0.5028152992968515
212,340,7.0,67,1,0,0.5210633993407834
213,310,6.0,65,1,0,0.5208431251241832
214,420,5.0,90,1,0,0.458782666132732
215,460,10.0,90,1,0,0.42130662659131035
216,430,8.0,88,1,0,0.4581105142808863
